order_month,monthly_revenue,monthly_profit,monthly_orders,monthly_customers,monthly_quantity,average_order_value,revenue_growth_pct
2014-01-01,14236.895,2450.1907,32,32,284,444.90296875,
2014-02-01,4519.892,862.3084,28,27,159,161.4247142857143,-68.25226287052058
2014-03-01,55691.009,498.7299,71,69,585,784.3804084507042,1132.1314093345593
2014-04-01,28013.973,3500.894,66,64,534,424.4541363636364,-49.6974942580049
2014-05-01,23648.287,2738.7096,69,67,466,342.7287971014493,-15.583958762293381
2014-06-01,34595.1276,4976.5244,66,63,521,524.1686,46.290205290556564
2014-07-01,33946.393,-841.4826000000002,65,65,550,522.2521999999999,-1.8752195612656286
2014-08-01,27909.4685,5318.105,72,70,609,387.6315069444444,-17.78369943457615
2014-09-01,81777.3508,8328.0994,130,118,1000,629.0565446153846,193.0093448393688
2014-10-01,31453.393,3448.2573,78,75,573,403.2486282051282,-61.53776969747472
2014-11-01,78628.7167,9292.1269,151,139,1219,520.7199781456954,149.98484805756885
2014-12-01,69545.6205,8983.5699,141,134,1079,493.23135106382983,-11.551881527782836
2015-01-01,18174.0756,-3281.007,29,28,236,626.6922620689655,-73.867404634056
2015-02-01,11951.411,2813.8508,36,36,239,331.9836388888889,-34.239235804653525
2015-03-01,38726.252,9732.0978,79,77,515,490.20572151898733,224.0307943555786
2015-04-01,34195.2085,4187.4962,72,69,543,474.9334513888889,-11.700185961708865
2015-05-01,30131.6865,4667.869,74,69,575,407.1849527027027,-11.883308154123407
2015-06-01,24797.292,3335.5572,68,68,486,364.66605882352945,-17.70360414442782
2015-07-01,28765.325,3288.6483,66,64,557,435.8382575757576,16.00188036661423
2015-08-01,36898.3322,5355.8084,68,64,598,542.6225323529411,28.273649611120312
2015-09-01,64595.918,8209.1627,140,126,1086,461.3994142857143,75.06460088729973
2015-10-01,31404.9235,2817.366,87,79,631,360.9761321839081,-51.38249525302822
2015-11-01,75972.5635,12474.7884,158,146,1310,480.8390094936709,141.91290738218166
2015-12-01,74919.5212,8016.9659,161,141,1203,465.33864099378883,-1.3860823585346016
2016-01-01,18542.490999999998,2824.8233,48,46,358,386.3018958333333,-75.2501207922829
2016-02-01,22978.815,5004.5795,45,42,306,510.64033333333333,23.925178121968614
2016-03-01,51715.875,3611.9680000000003,86,80,579,601.3473837209302,125.05892927899023
2016-04-01,38750.039000000004,2977.8149,89,83,635,435.39369662921354,-25.07128807160276
2016-05-01,56987.728,8662.1464,108,96,863,527.6641481481482,47.06495650236635
2016-06-01,40344.534,4750.3781,97,90,742,415.92303092783504,-29.20487372298822
2016-07-01,39261.963,4432.8778999999995,96,89,758,408.97878125000005,-2.6833151673036904
2016-08-01,31115.3743,2062.0693,90,86,693,345.7263811111111,-20.749315819996074
2016-09-01,73410.0249,9328.6576,192,176,1316,382.3438796875,135.9284647911178
2016-10-01,59687.745,16243.142500000002,105,95,767,568.4547142857143,-18.692651199468536
2016-11-01,79411.9658,4011.4075,183,165,1406,433.94516830601094,33.045679309881784
2016-12-01,96999.043,17885.3093,176,157,1414,551.1309261363637,22.146633725568844
2017-01-01,43971.374,7140.4391,69,67,597,637.2662898550725,-54.66823935572231
2017-02-01,20301.1334,1613.8719999999998,53,53,363,383.04025283018865,-53.83102333804717
2017-03-01,58872.3528,14751.891500000002,118,115,885,498.9182440677966,189.99539897609856
2017-04-01,36521.5361,933.2899999999998,116,109,733,314.84082844827583,-37.96487763268058
2017-05-01,44261.1102,6342.5828,118,113,887,375.09415423728814,21.19180879689233
2017-06-01,52981.7257,8223.3357,133,118,931,398.3588398496241,19.702658746232714
2017-07-01,45264.416,6952.6212,111,102,840,407.7875315315315,-14.565984021920986
2017-08-01,63120.888,9040.9557,111,104,884,568.6566486486487,39.449248610652575
2017-09-01,87866.652,10991.5556,226,196,1660,388.79049557522126,39.203764053509516
2017-10-01,77776.9232,9275.2755,147,136,1133,529.0947156462586,-11.483001309757423
2017-11-01,118447.825,9690.1037,261,216,1840,453.82308429118774,52.291734008835135
2017-12-01,83829.3188,8483.346800000001,224,195,1723,374.2380303571428,-29.22679770607861
