category,sub_category,total_revenue,total_profit,total_orders,total_customers,total_quantity,avg_discount
Technology,Phones,330007.054,44515.7306,814,511,3289,0.15455568053993252
Furniture,Chairs,328167.73099999997,26602.2251,576,407,2354,0.16996753246753246
Office Supplies,Storage,223843.608,21278.8264,777,514,3158,0.07470449172576832
Furniture,Tables,206965.532,-17725.4811,307,261,1241,0.2612852664576803
Office Supplies,Binders,203412.733,30221.7633,1316,650,5974,0.3722915298752462
Technology,Machines,189238.631,3384.7569,112,99,440,0.3060869565217391
Technology,Accessories,167380.318,41936.6357,718,474,2976,0.07845161290322582
Technology,Copiers,149528.03,55617.8249,68,64,234,0.16176470588235295
Furniture,Bookcases,114879.9963,-3472.556,224,195,868,0.211140350877193
Office Supplies,Appliances,107532.16100000001,18138.005400000002,451,356,1729,0.1665236051502146
Furniture,Furnishings,91705.164,13059.1436,877,528,3563,0.13834900731452457
Office Supplies,Paper,78479.206,34053.5693,1191,611,5178,0.07489051094890511
Office Supplies,Supplies,46673.538,-1189.0995,187,160,647,0.0768421052631579
Office Supplies,Art,27118.792,6527.787,731,494,3000,0.07487437185929649
Office Supplies,Envelopes,16476.402,6964.1767,249,206,906,0.08031496062992127
Office Supplies,Labels,12486.312,5546.254,346,281,1400,0.06868131868131869
Office Supplies,Fasteners,3024.28,949.5182,215,191,914,0.08202764976958525
